Besoldungsgruppe,Amtsbezeichnung,Zusatz
B3,Direktorin/Direktor,beim Planungsamt der Bundeswehr
B3,Direktorin/Direktor,beim Zentrum Digitalisierung der Bundeswehr und Fähigkeitsentwicklung Cyber- und Informationsraum
B3,Direktorin/Direktor,beim Zentrum für Cyber-Sicherheit der Bundeswehr
B3,Direktorin/Direktor,beim Zentrum Innere Führung der Bundeswehr
B3,Direktorin/Direktor,der Bundeswehrverwaltungsstelle USA und Kanada
B3,Direktorin/Direktor,der Bundeszentrale für Kinder- und Jugendmedienschutz
B3,Direktorin/Direktor,der Schule für ABC-Abwehr und gesetzliche Schutzaufgaben der Bundeswehr
B3,Direktorin/Direktor,"der Stiftung Flucht, Vertreibung, Versöhnung"
B3,Direktorin/Direktor,des Bundesaufsichtsamts für Flugsicherung
B3,Direktorin/Direktor,des Bundesinstituts für Kultur und Geschichte der Deutschen im östlichen Europa
B3,Direktorin/Direktor,des Bundesinstituts für Sportwissenschaft
B3,Direktorin/Direktor,des Verpflegungsamts der Bundeswehr
B3,Direktorin/Direktor,des Zentrums für Brandschutz der Bundeswehr
B3,Direktorin/Direktor,in der Bundesfernstraßenverwaltung
B3,Direktorin/Direktor,in der Bundespolizei
B3,Direktorin und Professorin/Direktor und Professor,beim ORG
B3,Direktorin und Professorin/Direktor und Professor,bei der ORG
B3,Direktorin und Professorin/Direktor und Professor,bei der Bundesagentur für Arbeit
B3,Direktorin und Professorin/Direktor und Professor,bei der Bundesanstalt für Materialforschung und –prüfung
B3,Direktorin und Professorin/Direktor und Professor,bei der Physikalisch-Technischen Bundesanstalt
B3,Direktorin und Professorin/Direktor und Professor,beim Zentrum für Geoinformationswesen der Bundeswehr
B3,Direktorin und Professorin/Direktor und Professor,des Bundesinstituts für Bevölkerungsforschung
B3,Direktorin und Professorin/Direktor und Professor,des Kunsthistorischen Instituts in Florenz
B3,Direktorin und Professorin/Direktor und Professor,des Wehrwissenschaftlichen Instituts für Schutztechnologien – ABC-Schutz
B3,Direktorin und Professorin/Direktor und Professor,des Wehrwissenschaftlichen Instituts für Werk- und Betriebsstoffe
B3,Ministerialrätin/Ministerialrat,
B3,Vizepräsidentin/Vizepräsident,
B4,Direktorin/Direktor,bei der ORG
B4,Direktorin/Direktor,der Bundesanstalt für Verwaltungsdienstleistungen
B4,Direktorin/Direktor,der Bundeszentrale für gesundheitliche Aufklärung
B4,Direktorin/Direktor,einer Wehrtechnischen Dienststelle
B4,Direktorin/Direktor,in der Bundesfernstraßenverwaltung
B4,Erste Direktorin/Erster Direktor,bei der Bundesanstalt für Immobilienaufgaben
B4,Erste Direktorin/Erster Direktor,beim Bundesamt für Verfassungsschutz
B4,Erste Direktorin/Erster Direktor,beim Bundesinstitut für Berufsbildung
B4,Erste Direktorin/Erster Direktor,beim Zentrum für Geoinformationswesen der Bundeswehr
B4,Erste Direktorin/Erster Direktor,im Bundeskriminalamt
B4,Präsidentin/Präsident,der Bundesanstalt für Gewässerkunde
B4,Präsidentin/Präsident,der Bundesanstalt für Wasserbau
B4,Präsidentin/Präsident,des Beschaffungsamts des BMI
B4,Präsidentin/Präsident,des Bundessortenamts
B4,Präsidentin/Präsident,einer Bundespolizeidirektion
B4,Vizepräsidentin/Vizepräsident,
B5,Direktorin/Direktor,bei der ORG
B5,Direktorin und Professorin/Direktor und Professor,bei der Bundesagentur für Arbeit
B5,Direktorin und Professorin/Direktor und Professor,der Stiftung Jüdisches Museum Berlin
B5,Erste Direktorin/Erster Direktor,der Unfallversicherung Bund und Bahn
B5,Oberdirektorin/Oberdirektor,bei der Bundesagentur für Arbeit
B5,Präsidentin/Präsident,der Hochschule des Bundes für öffentliche Verwaltung
B5,Präsidentin/Präsident,der Zentralen Stelle für Informationstechnik im Sicherheitsbereich
B5,Präsidentin/Präsident,des Bundesamts für Naturschutz
B5,Präsidentin/Präsident,des Bundessprachenamts
B5,Präsidentin/Präsident,des Fernstraßen-Bundesamts
B5,Präsidentin und Professorin/Präsident und Professor,der Bundesanstalt für Straßenwesen
B5,Präsidentin und Professorin/Präsident und Professor,der Stiftung Deutsches Historisches Museum
B5,Präsidentin und Professorin/Präsident und Professor,der Stiftung Haus der Geschichte der Bundesrepublik Deutschland
B5,Präsidentin und Professorin/Präsident und Professor,des Bundesamts für Kartographie und Geodäsie
B5,Vizedirektorin/Vizedirektor,
B5,Vizepräsidentin/Vizepräsident,
B6,Direktorin/Direktor,bei der ORG
B6,Direktorin/Direktor,beim Bundesrechnungshof
B6,Direktorin/Direktor,der ORG
B6,Direktorin/Direktor,im Bundesarchiv
B6,Direktorin und Professorin/Direktor und Professor,bei der Bundesagentur für Arbeit
B6,Erste Direktorin/Erster Direktor,"bei der Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen"
B6,Erste Direktorin/Erster Direktor,"beim Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr"
B6,Erste Direktorin/Erster Direktor,beim Bundesamt für das Personalmanagement der Bundeswehr
B6,Erste Direktorin/Erster Direktor,"beim Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr"
B6,Erste Direktorin/Erster Direktor,beim Bundesnachrichtendienst
B6,Erste Direktorin/Erster Direktor,beim Luftfahrtamt der Bundeswehr
B6,Erste Direktorin/Erster Direktor,beim Planungsamt der Bundeswehr
B6,Ministerialdirigentin/Ministerialdirigent,
B6,Oberdirektorin/Oberdirektor,bei der Bundesagentur für Arbeit
B6,Präsidentin/Präsident,der Bundesfinanzakademie
B6,Präsidentin/Präsident,der Bundespolizeiakademie
B6,Präsidentin/Präsident,der Bundeszentrale für politische Bildung
B6,Präsidentin/Präsident,des Bundesamts für Auswärtige Angelegenheiten
B6,Präsidentin/Präsident,des Bundesamts für Bevölkerungsschutz und Katastrophenhilfe
B6,Präsidentin/Präsident,des Bundesamts für Logistik und Mobilität
B6,Präsidentin/Präsident,des Bundesamts für Strahlenschutz
B6,Präsidentin/Präsident,des Bundesamts für Verbraucherschutz und Lebensmittelsicherheit
